candidate_id,feature,target,sector,sector_scope_status
range_position_rank_60__fwd_return_5m_beta_residual,range_position_rank_60,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_outlier_score_24__fwd_return_5m_beta_residual,return_outlier_score_24,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_rank_8__fwd_return_5m_beta_residual,range_position_rank_8,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_rank_4__fwd_return_5m_beta_residual,return_rank_4,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_rank_1__fwd_return_5m_beta_residual,return_rank_1,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_rank_1__fwd_return_5m_beta_residual,range_position_rank_1,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
return_outlier_score_8__fwd_return_5m_beta_residual,return_outlier_score_8,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_60__fwd_return_eod_beta_residual,market_residual_return_60,fwd_return_eod_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_60__fwd_return_eod_benchmark_adjusted,market_residual_return_60,fwd_return_eod_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
return_outlier_score_20__fwd_return_5m_beta_residual,return_outlier_score_20,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_20__fwd_return_5m_beta_residual,market_residual_return_20,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_20__fwd_return_5m_benchmark_adjusted,market_residual_return_20,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
breakdown_magnitude_5__fwd_return_5m_beta_residual,breakdown_magnitude_5,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
breakdown_magnitude_6__fwd_return_5m_beta_residual,breakdown_magnitude_6,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
breakdown_magnitude_1__fwd_return_5m_beta_residual,breakdown_magnitude_1,fwd_return_5m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
range_position_1__fwd_return_120m_benchmark_adjusted,range_position_1,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
range_position_2__fwd_return_120m_benchmark_adjusted,range_position_2,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
close_location__fwd_return_120m_benchmark_adjusted,close_location,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
close_location__fwd_return_60m_benchmark_adjusted,close_location,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_120m_benchmark_adjusted,session_range_position,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_30m_benchmark_adjusted,session_range_position,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_60m_benchmark_adjusted,session_range_position,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_60__fwd_return_30m_beta_residual,market_residual_return_60,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_15m_benchmark_adjusted,session_range_position,fwd_return_15m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
session_range_position__fwd_return_5m_benchmark_adjusted,session_range_position,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
higher_high__fwd_return_120m_benchmark_adjusted,higher_high,fwd_return_120m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_60m_benchmark_adjusted,upper_wick_to_range,fwd_return_60m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
upper_wick_to_range__fwd_return_60m_beta_residual,upper_wick_to_range,fwd_return_60m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
market_residual_return_20__fwd_return_30m_beta_residual,market_residual_return_20,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_15m_benchmark_adjusted,opening_breakout_5m,fwd_return_15m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
opening_breakout_5m__fwd_return_5m_benchmark_adjusted,opening_breakout_5m,fwd_return_5m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_4__fwd_return_30m_beta_residual,relative_volume_inclusive_4,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_2__fwd_return_30m_beta_residual,relative_volume_inclusive_2,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
relative_volume_inclusive_5__fwd_return_30m_beta_residual,relative_volume_inclusive_5,fwd_return_30m_beta_residual,unavailable,unavailable_missing_point_in_time_sector_data
universe_breadth_positive__fwd_return_30m_benchmark_adjusted,universe_breadth_positive,fwd_return_30m_benchmark_adjusted,unavailable,unavailable_missing_point_in_time_sector_data
